City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,76.86,broken clouds,-22.97,-42.03,Pousada Porto Praia
2,Atuona,PF,78.46,light rain,-9.8,-139.03,Villa Enata
3,Dingle,PH,76.03,broken clouds,11.0,122.67,SEGAYA PROPERTY
5,Lorengau,PG,81.63,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
15,Luang Prabang,LA,80.29,broken clouds,19.89,102.13,The Apsara
16,Sechura,PE,77.86,few clouds,-5.56,-80.82,Hospedaje Costa Bella
17,Rikitea,PF,77.45,light rain,-23.12,-134.97,People ThankYou
20,Bathsheba,BB,84.81,scattered clouds,13.22,-59.52,Atlantis Hotel
23,Puerto Ayora,EC,80.56,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
31,Mahebourg,MU,77.29,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
37,Ponta Do Sol,PT,75.7,scattered clouds,32.67,-17.1,Hotel do Campo
43,Butaritari,KI,80.44,light rain,3.07,172.79,Isles Sunset Lodge
48,Amahai,ID,79.79,overcast clouds,-3.33,128.92,HOTEL ISABELA
50,Yulara,AU,80.44,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
53,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
54,Kalianget,ID,81.43,broken clouds,-7.05,113.93,Pesanggrahan Garam
61,Lazaro Cardenas,MX,83.28,overcast clouds,17.96,-102.2,HOTEL QUINTA ANTIGUA
74,Teknaf,BD,80.51,few clouds,20.86,92.31,Shilbania para
75,Saint-Joseph,RE,77.38,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
79,Sai Buri,TH,79.79,overcast clouds,6.7,101.62,ร้าน​ เวดดิ้ง
82,Sinnamary,GF,82.13,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
88,Bambous Virieux,MU,77.25,light rain,-20.34,57.76,Casa Tia Villa
95,San Nicolas,PH,80.51,few clouds,18.17,120.6,NORTHVIEW Hotel
103,Copacabana,CO,79.0,broken clouds,6.35,-75.51,Hospedaje Brazil
106,Monte Alegre,BR,83.79,overcast clouds,-2.01,-54.07,Hotel Shekinah
112,Saint-Philippe,RE,78.39,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
120,Manor,IN,80.37,clear sky,19.75,72.92,Vegas Hotel And Lodging.
131,Faanui,PF,81.86,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Davila,PH,80.58,broken clouds,18.47,120.58,Blue Ridge Beach Resort
134,Marzuq,YE,75.92,clear sky,14.4,46.47,
137,Meulaboh,ID,78.91,light rain,4.14,96.13,Kost Pria
138,Saint-Georges,GD,83.88,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
139,Mazamari,PE,75.22,light rain,-11.33,-74.53,Hospedaje Ratto
151,Jacareacanga,BR,81.99,overcast clouds,-6.22,-57.75,Casa do Ian😎
152,Tura,IN,76.23,clear sky,25.52,90.22,Hotel RIKMAN Continental
154,Bereda,ES,76.41,clear sky,43.27,-7.54,Pazo de Verdes
156,Mayumba,GA,81.5,light rain,-3.43,10.66,LIKWALE LODGE
161,Tagusao,PH,79.68,broken clouds,9.19,117.81,Toledo
163,Salalah,OM,80.62,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
164,San Patricio,US,77.09,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
167,Lafayette,US,77.92,broken clouds,30.23,-92.07,Hilton Garden Inn Lafayette/Cajundome
170,Kribi,CM,81.79,broken clouds,2.95,9.92,La Grace Hôtel
173,Kloulklubed,PW,77.5,overcast clouds,7.04,134.26,Storyboard Beach Resort
175,Antalaha,MG,78.71,light rain,-14.9,50.28,Hotel Vitasoa
184,Waingapu,ID,80.02,broken clouds,-9.66,120.26,Pondok Wisata Elim
190,Sakakah,SA,76.62,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
192,Hithadhoo,MV,83.95,clear sky,-0.6,73.08,Scoop Guest House
194,Maraa,BR,78.84,overcast clouds,-1.83,-65.37,
196,Nova Granada,BR,75.45,few clouds,-20.53,-49.31,Casa do maikão
197,Soyo,AO,78.12,moderate rain,-6.13,12.37,Hotel Mpampa
201,Ca Mau,VN,80.67,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
202,Kalabo,ZM,77.61,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
204,Inhambane,MZ,79.93,overcast clouds,-23.86,35.38,Oceano
207,Maxixe,MZ,79.61,overcast clouds,-23.86,35.35,Oceano
217,Le Port,RE,78.8,broken clouds,-20.94,55.29,KORBEY D'OR OUEST
219,Gizo,SB,80.29,light rain,-8.1,156.84,Imagination Island
220,Quatre Cocos,MU,77.11,light rain,-20.21,57.76,Sunrise Attitude Hotel
222,Poum,NC,75.51,broken clouds,-20.23,164.02,
224,Kieta,PG,78.93,overcast clouds,-6.22,155.63,Uruna Bay Retreat
225,Tevaitoa,PF,81.52,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
226,Beroroha,MG,84.52,broken clouds,-21.67,45.17,
227,Axim,GH,83.86,light rain,4.87,-2.24,Axim Beach Resort And Spa
237,Ardakan,IR,75.43,overcast clouds,32.31,54.02,Ardakan Hotel
238,Cabo San Lucas,MX,77.5,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
239,Palmas Bellas,PA,82.02,overcast clouds,9.23,-80.09,Antigua Residencia Galván
240,Pucallpa,PE,76.91,heavy intensity rain,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
249,Victoria,HK,75.33,scattered clouds,22.29,114.16,Mini Hotel Central
254,Tiarei,PF,75.22,few clouds,-17.53,-149.33,Le Rocher de Tahiti
261,Tautira,PF,80.82,few clouds,-17.73,-149.15,Pension Oaoa
263,Cururupu,BR,81.93,overcast clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
265,Ondjiva,AO,83.79,broken clouds,-17.07,15.73,COMBUESA
266,Liku,ID,75.69,overcast clouds,-0.73,119.89,Wahyu
267,Frontera,MX,77.32,broken clouds,26.93,-101.45,Fiesta Inn Monclova
272,Teodoro Sampaio,BR,75.42,few clouds,-22.53,-52.17,Hotel do Senhor
273,Banda Aceh,ID,81.73,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
278,Georgetown,MY,82.33,few clouds,5.41,100.34,Cititel Penang
279,Tual,ID,82.78,overcast clouds,-5.67,132.75,Grand Vilia Hotel
285,Humaita,BR,80.56,overcast clouds,-7.51,-63.02,Corrêa Hotel
287,Mae Ramat,TH,79.16,broken clouds,16.98,98.52,ก้านพลู ไอศครีมกะทิสด
288,Kandrian,PG,77.22,light rain,-6.22,149.55,Kandrian Station
306,Carnarvon,AU,77.07,scattered clouds,-24.87,113.63,Hospitality Carnarvon
310,Bengkulu,ID,78.01,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
311,Ojinaga,MX,80.56,clear sky,29.57,-104.42,Suites Las Palmas
315,Alofi,NU,80.69,clear sky,-19.06,-169.92,Taloa Heights
316,Srandakan,ID,78.3,overcast clouds,-7.94,110.25,Puri Brata
317,Corn Island,NI,81.16,overcast clouds,12.17,-83.04,Big Fish Guest House
321,Isangel,VU,79.45,broken clouds,-19.55,169.27,Tanna Lodge
327,Cockburn Town,TC,77.34,few clouds,21.46,-71.14,Osprey Beach Hotel
328,Alta Floresta,BR,84.54,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
334,Thinadhoo,MV,84.22,clear sky,0.53,72.93,
339,Bombay,IN,84.18,haze,19.01,72.85,Hotel Avon Ruby-Dadar
342,Saint Marys,US,83.12,clear sky,30.73,-81.55,Spencer House Inn
347,Siocon,PH,78.4,few clouds,7.71,122.14,MSWDO
349,Rawson,AR,76.12,clear sky,-43.3,-65.1,Hosteria Sampedro
350,Miri,MY,78.39,broken clouds,4.41,114.01,"Mega Hotel, Miri"
352,Dusti,TJ,76.08,clear sky,37.35,68.66,Hotel Izzat
356,Sabang,ID,84.43,broken clouds,5.89,95.32,Hotel Citra
359,Saint-Pierre,RE,78.48,few clouds,-21.34,55.48,Lindsey Hôtel
364,Ugoofaaru,MV,84.97,few clouds,5.67,73.0,Ungoofaaru Inn
371,Vila Velha,BR,82.35,clear sky,-20.33,-40.29,Hotel Vitória Palace
372,Port Blair,IN,82.87,clear sky,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
377,Souillac,MU,77.38,light rain,-20.52,57.52,Bils' Villa
386,Dabhol,IN,79.88,overcast clouds,17.6,73.17,Ashwamedh Resort
389,Palauig,PH,80.13,overcast clouds,15.44,119.9,East Poblacion
397,Pailon,BO,77.9,few clouds,-17.65,-62.75,Alojamiento pailon
401,Sao Gotardo,BR,77.63,broken clouds,-19.31,-46.05,HOTEL BOMTEMPO
408,Bani Walid,LY,84.15,clear sky,31.76,13.99,منزل مفتاح محمد الزلبي
412,Alappuzha,IN,83.71,few clouds,9.49,76.33,Panoramic Sea Resort
414,Dong Hoi,VN,75.87,scattered clouds,17.48,106.6,Nam Long Hotel
419,Daitari,IN,80.31,scattered clouds,21.1,85.75,
431,Puerto Carreno,CO,83.53,overcast clouds,6.19,-67.49,Casa Hotel Victoria
432,Bambanglipuro,ID,78.06,overcast clouds,-7.95,110.28,Puri Brata
442,Thibodaux,US,75.18,scattered clouds,29.8,-90.82,Hampton Inn & Suites Thibodaux
444,Daru,PG,80.8,overcast clouds,-9.08,143.21,Daru Lodge
445,Kupang,ID,79.93,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
446,Ambulu,ID,76.98,broken clouds,-8.35,113.61,Hotel Ambulu Jember
447,Mizdah,LY,80.33,clear sky,31.45,12.98,محمدالمبروك الاريقط
448,Kirakira,SB,79.32,broken clouds,-10.45,161.92,SanBiz Lodge
450,Kavaratti,IN,83.8,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
451,Paragominas,BR,83.88,broken clouds,-2.97,-47.48,INOVA
457,Eyl,SO,82.74,broken clouds,7.98,49.82,DAAWAD HOTEL EYL
458,Tshikapa,CD,76.8,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
459,Camapua,BR,81.0,clear sky,-19.53,-54.04,Comercial Estrela
467,Kudat,MY,78.75,few clouds,6.88,116.85,Dream Garden Hotel
478,Alice Springs,AU,76.55,clear sky,-23.7,133.88,Desert Palms Alice Springs
482,Lecco,IT,78.85,scattered clouds,45.85,9.39,Hotel NH Pontevecchio
488,Cap Malheureux,MU,76.46,clear sky,-19.98,57.61,Pereybere Hotel & Spa
495,Catalao,BR,81.79,few clouds,-18.17,-47.95,Mara Turismo Hotel
498,Pundaguitan,PH,81.7,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
499,Jaciara,BR,81.12,overcast clouds,-15.97,-54.97,Taba Hotel
504,Bontang,ID,81.93,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
507,Kendari,ID,75.69,scattered clouds,-3.94,122.5,Hotel Wixel
516,Kavieng,PG,81.97,broken clouds,-2.57,150.8,Nusa Island Retreat
527,Laguna De Perlas,NI,82.56,broken clouds,12.34,-83.67,Hotel Best View
532,Santa Rosa,PH,82.38,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
538,Acapulco,MX,84.02,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
540,Samarai,PG,81.82,broken clouds,-10.62,150.67,Nuli Sapi
543,Sarangani,PH,82.33,overcast clouds,5.4,125.46,Ballistic Islet
551,Moerai,PF,80.6,scattered clouds,-22.43,-151.33,Le Manotel
561,Gazojak,TM,77.13,overcast clouds,41.19,61.4,
565,Caravelas,BR,80.08,broken clouds,-17.71,-39.25,Pousada dos Navegantes
