City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.97,-42.03,76.86,57,75,24.16,broken clouds
1,East London,ZA,-33.02,27.91,59.94,94,75,12.66,broken clouds
2,Atuona,PF,-9.80,-139.03,78.46,78,29,15.03,light rain
3,Dingle,PH,11.00,122.67,76.03,92,62,1.97,broken clouds
4,Lagoa,PT,39.05,-27.98,58.8,79,79,20.33,broken clouds
5,Lorengau,PG,-2.02,147.27,81.63,78,37,5.91,scattered clouds
6,Hvide Sande,DK,56.00,8.13,48.09,74,100,9.84,overcast clouds
7,Punta Arenas,CL,-53.15,-70.92,50.11,93,75,11.5,broken clouds
8,Chimbote,PE,-9.09,-78.58,71.15,73,33,10.8,scattered clouds
9,Port Alfred,ZA,-33.59,26.89,61.18,83,99,3.0,overcast clouds
10,Los Llanos De Aridane,ES,28.66,-17.92,65.95,64,0,14.97,clear sky
11,Busselton,AU,-33.65,115.33,58.5,91,3,7.54,clear sky
12,New Norfolk,AU,-42.78,147.06,54.9,70,66,2.15,broken clouds
13,Viransehir,TR,37.24,39.76,57.85,50,100,6.15,overcast clouds
14,Hasaki,JP,35.73,140.83,46.8,89,100,31.27,overcast clouds
15,Luang Prabang,LA,19.89,102.13,80.29,46,77,2.08,broken clouds
16,Sechura,PE,-5.56,-80.82,77.86,57,13,14.36,few clouds
17,Rikitea,PF,-23.12,-134.97,77.45,70,0,15.12,light rain
18,Ushuaia,AR,-54.80,-68.30,44.22,93,40,0.0,scattered clouds
19,Kapaa,US,22.08,-159.32,71.11,83,97,1.01,overcast clouds
20,Bathsheba,BB,13.22,-59.52,84.81,70,40,23.02,scattered clouds
21,Thompson,CA,55.74,-97.86,10.56,48,75,13.8,broken clouds
22,Kayes,ML,14.00,-11.00,106.59,6,79,4.52,broken clouds
23,Puerto Ayora,EC,-0.74,-90.35,80.56,80,60,11.83,broken clouds
24,Henties Bay,NA,-22.12,14.28,61.81,78,2,11.95,clear sky
25,Ribeira Grande,PT,38.52,-28.70,63.0,72,75,18.41,broken clouds
26,Vostok,RU,46.49,135.88,24.15,81,8,5.37,clear sky
27,Muravlenko,RU,63.79,74.52,33.01,99,100,8.79,light snow
28,Marondera,ZW,-18.19,31.55,66.33,66,19,5.84,few clouds
29,Lebu,CL,-37.62,-73.65,58.87,68,68,7.07,broken clouds
