City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-04-04 00:47:43,-54.8,-68.3,37.06,93,40,21.85
1,Bambous Virieux,MU,2022-04-04 00:47:44,-20.3428,57.7575,79.21,83,75,10.36
2,New Norfolk,AU,2022-04-04 00:46:57,-42.7826,147.0587,65.91,65,58,2.35
3,Rikitea,PF,2022-04-04 00:47:43,-23.1203,-134.9692,77.43,65,100,9.6
4,Lebu,CL,2022-04-04 00:54:18,-37.6167,-73.65,53.19,76,0,20.58
5,Mahebourg,MU,2022-04-04 00:54:18,-20.4081,57.7,79.25,83,75,10.36
6,Manyana,BW,2022-04-04 00:54:18,-23.4,21.7167,64.92,85,100,7.09
7,Hilo,US,2022-04-04 00:51:51,19.7297,-155.09,76.24,90,100,5.01
8,Derzhavinsk,KZ,2022-04-04 00:54:19,51.1,66.3167,36.9,74,100,10.58
9,Yar-Sale,RU,2022-04-04 00:54:19,66.8333,70.8333,15.22,88,100,19.44
10,Cayenne,GF,2022-04-04 00:49:26,4.9333,-52.3333,80.1,1,75,4.0
11,Thompson,CA,2022-04-04 00:54:20,55.7435,-97.8558,39.36,48,75,5.75
12,Petropavlovsk-Kamchatskiy,RU,2022-04-04 00:54:20,53.0452,158.6483,32.59,40,0,17.9
13,Hobart,AU,2022-04-04 00:43:46,-42.8794,147.3294,66.25,78,40,9.22
14,Itanhem,BR,2022-04-04 00:54:21,-17.1664,-40.33,68.74,91,0,4.9
15,Nikolskoye,RU,2022-04-04 00:54:21,59.7035,30.7861,28.8,94,66,3.74
16,Berdigestyakh,RU,2022-04-04 00:54:21,62.0989,126.6992,21.09,93,100,8.88
17,Kruisfontein,ZA,2022-04-04 00:54:22,-34.0033,24.7314,57.88,83,49,4.94
18,Klaksvik,FO,2022-04-04 00:54:22,62.2266,-6.589,41.92,98,100,21.77
19,Neuquen,AR,2022-04-04 00:54:22,-38.9516,-68.0591,58.89,38,0,10.36
20,Tuktoyaktuk,CA,2022-04-04 00:54:23,69.4541,-133.0374,-18.4,76,20,4.61
21,Yarada,IN,2022-04-04 00:54:23,17.65,83.2667,80.92,89,20,5.75
22,Ribeira Grande,PT,2022-04-04 00:54:23,38.5167,-28.7,60.04,76,100,13.27
23,Busselton,AU,2022-04-04 00:54:24,-33.65,115.3333,66.18,62,10,15.82
24,Puerto Ayora,EC,2022-04-04 00:54:24,-0.7393,-90.3518,75.54,96,100,5.01
25,Krasnoyarskiy,RU,2022-04-04 00:54:24,51.965,59.8967,39.38,75,100,11.45
26,Bluff,NZ,2022-04-04 00:54:25,-46.6,168.3333,58.37,71,42,7.05
27,Vaini,TO,2022-04-04 00:54:25,-21.2,-175.2,78.96,89,75,6.91
28,Kapaa,US,2022-04-04 00:47:36,22.0752,-159.319,82.38,74,40,18.41
29,Fortuna,US,2022-04-04 00:54:26,40.5982,-124.1573,56.93,67,0,9.22
30,Samarai,PG,2022-04-04 00:54:26,-10.6167,150.6667,82.76,74,88,10.74
31,Phan Thiet,VN,2022-04-04 00:54:26,10.9333,108.1,81.52,65,54,6.42
32,Camacha,PT,2022-04-04 00:54:26,33.0833,-16.3333,56.62,58,40,25.32
33,Uthal,PK,2022-04-04 00:54:27,25.8072,66.6219,73.96,64,3,2.01
34,Springfield,US,2022-04-04 00:50:32,37.2153,-93.2982,63.9,47,99,3.0
35,Carnarvon,AU,2022-04-04 00:49:50,-24.8667,113.6333,78.87,83,15,9.22
36,Tigil,RU,2022-04-04 00:54:27,57.8,158.6667,25.54,81,100,10.78
37,Beyneu,KZ,2022-04-04 00:54:28,45.3167,55.2,60.46,49,100,11.61
38,Kuliyapitiya,LK,2022-04-04 00:54:28,7.4688,80.0401,76.68,94,10,2.39
39,Buta,CD,2022-04-04 00:54:28,2.7858,24.73,70.2,97,100,2.06
40,Ibra,OM,2022-04-04 00:54:28,22.6906,58.5334,70.77,37,0,1.57
41,Avarua,CK,2022-04-04 00:50:14,-21.2078,-159.775,75.25,88,75,19.57
42,Ambilobe,MG,2022-04-04 00:54:29,-13.2,49.05,71.96,95,78,1.72
43,Yellowknife,CA,2022-04-04 00:50:52,62.456,-114.3525,24.42,62,40,16.11
44,Kaduna,NG,2022-04-04 00:54:29,10.5222,7.4383,77.59,45,100,3.44
45,Albany,US,2022-04-04 00:47:08,42.6001,-73.9662,38.03,90,100,1.01
46,Mataura,NZ,2022-04-04 00:54:30,-46.1927,168.8643,65.12,50,5,0.74
47,Hit,IQ,2022-04-04 00:55:30,33.6416,42.8251,70.47,31,100,11.05
48,Hermanus,ZA,2022-04-04 00:45:49,-34.4187,19.2345,56.8,88,4,2.33
49,Ponta Do Sol,PT,2022-04-04 00:55:30,32.6667,-17.1,60.71,65,100,13.98
50,Faanui,PF,2022-04-04 00:47:39,-16.4833,-151.75,82.18,69,10,11.81
51,Sola,VU,2022-04-04 00:55:31,-13.8833,167.55,77.67,94,100,3.44
52,Punta Arenas,CL,2022-04-04 00:55:31,-53.15,-70.9167,37.51,81,40,4.61
53,Cidreira,BR,2022-04-04 00:55:31,-30.1811,-50.2056,68.72,97,100,8.68
54,Sur,OM,2022-04-04 00:55:32,22.5667,59.5289,81.72,35,3,10.6
55,Soe,ID,2022-04-04 00:55:32,-9.8607,124.284,76.05,64,39,2.57
56,Waingapu,ID,2022-04-04 00:55:32,-9.6567,120.2641,81.82,67,51,1.45
57,Port Alfred,ZA,2022-04-04 00:55:33,-33.5906,26.891,66.18,89,66,1.99
58,Nabire,ID,2022-04-04 00:55:33,-3.3667,135.4833,85.86,60,13,2.33
59,Nome,US,2022-04-04 00:55:33,64.5011,-165.4064,16.11,63,4,4.79
